Ticker,Company Name,Weighted Sharpe,Weighted Sortino,1-Year ROC %,Weighted ROC %,Sharpe + ROC Blend,Sortino + ROC Blend,Master Blend,1-Year Max Drawdown %,Last Close,200-Day MA,Trend Check,Alpha (1Y),Beta (1Y),Dist. from 52W High %,Avg Turnover (Cr),14-Day RSI
20MICRONS,20 Microns Limited,0.96,1.24,-8.02,15.24,1.24,1.38,1.24,-42.24,207.86,185.86,Pass (Up),7.48,1.33,-9.27,6.4,48.95
21STCENMGM,21st Century Management Services Limited,1.34,1.31,-27.96,7.18,1.03,1.02,1.12,-46.89,38.39,37.51,Pass (Up),-29.16,0.22,-28.71,0.03,44.78
360ONE,360 ONE WAM LIMITED,0.02,0.02,4.33,0.87,0.05,0.05,0.04,-22.57,1091.0,1108.5,Fail (Down),15.78,1.38,-9.83,121.35,50.6
3IINFOLTD,3i Infotech Limited,2.34,2.69,-5.42,42.9,3.32,3.49,3.11,-48.29,22.85,17.59,Pass (Up),5.05,0.7,-17.21,1.77,49.16
3MINDIA,3M India Limited,0.39,0.41,7.15,0.07,0.2,0.21,0.27,-22.25,32710.0,33543.4,Fail (Down),16.35,0.86,-11.83,13.44,51.11
3PLAND,3P Land Holdings Limited,-0.22,-0.22,-31.72,-7.82,-0.5,-0.5,-0.41,-37.96,31.24,33.81,Fail (Down),-30.48,0.66,-32.51,0.01,44.36
5PAISA,5Paisa Capital Limited,0.34,0.4,-11.24,3.24,0.33,0.36,0.35,-35.79,326.55,335.99,Fail (Down),3.63,1.17,-19.49,2.6,48.71
63MOONS,63 moons technologies limited,1.82,2.21,-2.61,36.98,2.76,2.96,2.58,-49.99,908.9,692.52,Pass (Up),20.95,1.85,-3.35,65.33,49.7
A2ZINFRA,A2Z Infra Engineering Limited,0.37,0.51,-20.36,-0.16,0.18,0.25,0.29,-37.35,15.33,15.22,Pass (Up),-5.03,1.18,-20.36,0.55,47.86
AAATECH,AAA Technologies Limited,-0.16,-0.18,14.51,-2.0,-0.18,-0.19,-0.18,-34.0,91.88,96.67,Fail (Down),29.75,0.6,-26.75,0.19,51.16
AADHARHFC,Aadhar Housing Finance Limited,-0.31,-0.32,-9.64,-6.2,-0.47,-0.47,-0.42,-18.66,456.8,483.99,Fail (Down),-2.18,0.77,-17.92,23.22,48.36
AAKASH,Aakash Exploration Services Limited,-0.35,-0.36,-9.09,-5.93,-0.47,-0.48,-0.43,-33.53,9.1,8.75,Pass (Up),3.42,0.33,-23.53,0.13,48.67
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,1.78,1.92,34.0,35.96,2.69,2.76,2.43,-48.87,98.89,77.17,Pass (Up),50.47,1.33,-1.09,0.92,52.58
AARON,Aaron Industries Limited,-0.07,-0.03,-36.17,-11.58,-0.62,-0.6,-0.42,-50.0,126.94,143.11,Fail (Down),-30.11,0.99,-41.7,0.38,44.88
AARTECH,Aartech Solonics Limited,1.06,1.39,-8.24,11.8,1.12,1.29,1.21,-44.7,51.99,46.99,Pass (Up),18.1,1.56,-17.38,0.68,49.21
AARTIDRUGS,Aarti Drugs Limited,1.32,1.47,-15.75,13.33,1.33,1.4,1.37,-38.81,428.5,386.17,Pass (Up),-7.78,0.88,-18.0,8.38,47.27
AARTIIND,Aarti Industries Limited,0.56,0.64,26.02,15.22,1.04,1.08,0.91,-16.61,492.7,445.25,Pass (Up),38.75,1.51,-9.11,59.49,52.99
AARTIPHARM,Aarti Pharmalabs Limited,1.32,2.05,-8.93,21.12,1.72,2.08,1.83,-36.86,826.95,722.2,Pass (Up),6.17,1.12,-11.79,51.07,48.86
AARTISURF,Aarti Surfactants Limited,1.39,1.92,4.38,29.4,2.16,2.43,2.08,-36.42,506.65,415.96,Pass (Up),24.48,1.34,-23.07,2.22,50.48
AARVI,Aarvi Encon Limited,0.4,0.49,15.6,9.74,0.69,0.73,0.62,-17.08,141.85,133.22,Pass (Up),29.28,1.04,-11.16,0.66,51.61
AAVAS,Aavas Financiers Limited,-0.49,-0.53,-21.28,-6.46,-0.57,-0.59,-0.55,-38.15,1275.1,1373.8,Fail (Down),-15.14,0.88,-26.57,16.06,46.51
ABAN,Aban Offshore Limited,-1.28,-1.08,-67.34,-31.56,-2.22,-2.12,-1.84,-70.82,14.39,19.58,Fail (Down),-104.22,0.03,-68.14,0.07,37.18
ABB,ABB India Limited,1.21,1.32,41.62,18.96,1.55,1.61,1.48,-16.56,7274.0,6370.41,Pass (Up),45.57,1.01,-5.65,221.08,55.43
ABBOTINDIA,Abbott India Limited,-0.18,-0.2,-15.58,-3.85,-0.28,-0.29,-0.25,-18.72,25550.0,26508.2,Fail (Down),-13.94,0.29,-15.6,28.14,45.93
ABCAPITAL,Aditya Birla Capital Limited,1.07,1.17,36.21,16.31,1.35,1.4,1.29,-19.72,395.0,362.33,Pass (Up),45.73,1.65,-6.99,151.99,54.03
ABCOTS,A B Cotspin India Limited,-2.02,-2.15,-52.11,-35.58,-2.79,-2.85,-2.58,-56.54,203.06,313.02,Fail (Down),-62.05,0.27,-55.52,1.07,41.14
ABDL,Allied Blenders and Distillers Limited,0.76,0.91,20.57,16.65,1.21,1.29,1.11,-43.82,632.5,556.78,Pass (Up),34.06,1.14,-9.99,26.18,52.04
ABFRL,Aditya Birla Fashion and Retail Limited,-1.51,-1.62,-43.42,-22.79,-1.89,-1.95,-1.8,-46.07,50.44,64.01,Fail (Down),-42.25,1.53,-46.04,33.37,43.58
ABINFRA,A B Infrabuild Limited,-0.38,-0.41,-42.72,-19.16,-1.15,-1.16,-0.9,-58.16,11.34,14.96,Fail (Down),-39.31,0.99,-47.69,6.83,45.07
ABLBL,Aditya Birla Lifestyle Brands Limited,-1.85,-2.04,-41.8,-20.82,-1.97,-2.06,-1.99,-43.73,83.61,103.18,Fail (Down),-41.1,1.37,-43.17,7.83,43.16
ABMINTLLTD,ABM International Limited,1.01,1.42,21.81,22.03,1.61,1.81,1.54,-39.36,52.5,44.61,Pass (Up),45.84,0.63,-24.32,0.01,51.37
ABREL,Aditya Birla Real Estate Limited,-0.02,-0.01,-28.19,-2.79,-0.15,-0.15,-0.1,-43.3,1281.6,1392.46,Fail (Down),-16.67,1.59,-33.52,25.69,46.23
ABSLAMC,Aditya Birla Sun Life AMC Limited,0.73,0.72,33.08,21.21,1.42,1.42,1.19,-17.6,1109.9,942.68,Pass (Up),41.51,1.02,-5.11,33.25,53.47
ACC,ACC Limited,-1.44,-1.49,-32.02,-14.82,-1.46,-1.49,-1.47,-34.49,1246.5,1477.57,Fail (Down),-30.34,1.22,-34.49,20.74,42.41
ACCELYA,Accelya Solutions India Limited,-0.24,-0.23,-16.25,-5.14,-0.37,-0.37,-0.33,-27.5,1118.4,1178.98,Fail (Down),-11.52,0.72,-20.86,0.72,46.29
ACCURACY,Accuracy Shipping Limited,-1.92,-1.71,-41.07,-17.65,-1.84,-1.74,-1.8,-52.53,4.19,5.11,Fail (Down),-35.3,1.58,-42.68,0.03,43.69
ACE,Action Construction Equipment Limited,1.61,2.01,1.65,23.61,1.99,2.18,1.99,-35.18,1129.0,943.04,Pass (Up),12.73,1.02,-4.53,53.21,50.24
